MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Basin,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_(short_tons),Average_Employees,Labor_Hours,log_production
103335,2010,Thompson South Mine,Alabama,Bibb,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,"M&b Excavating Co., Inc., Llc","1001 Heflin Avenue West, Birmingham, AL 35214",,103,1,30,4.634728988229636
103381,2010,Tacoa Highwall Miner,Alabama,Bibb,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,"Tacoa Minerals,llc","1669 Mission Hills Road, Alabaster, AL 35007",,127564,13,33241,11.75637347842476
103404,2010,Reid School Mine,Alabama,Blount,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,"Taft Coal Sales & Associates,","107 N. Walston Bridge Road, Jasper, AL 35504",,148994,32,76025,11.911661315660425
103117,2010,"Mine #2, #3, #4",Alabama,Cullman,Appalachia Southern,Temporarily closed,Surface,Operating Subsidiary,Mine only,"Evergreen Mining, Llc","74 Indutrial Parkway, Jasper, AL 35001",,69035,17,34365,11.142368901350252
100759,2010,North River #1 Underground Min,Alabama,Fayette,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Chevron Mining Inc,"3114 County Road 63 S, Berry, AL 35546",United Mine Workers of America,3037170,372,816059,14.926436718753665
103246,2010,Bear Creek,Alabama,Franklin,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","912 Edenton Street, Birmingham, AL 35242",,39301,15,12879,10.579005242826247
103374,2010,Meredyth Mine,Alabama,Franklin,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,"National Coal Of Alabama, Inc","1810 Birmingham Ave. Ste #101, Jasper, AL 35501",,70229,15,31170,11.15951661012246
102933,2010,Mine No 2,Alabama,Jackson,Appalachia Southern,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Gtm Energy Partners, Llc","440 County Road 464, Flat Rock, AL 35966",,33623,7,13096,10.422965635581258
100851,2010,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine only,Oak Grove Resources Llc,"8800 Oak Grove Mine Rd, Adger, AL 35006",United Mine Workers of America,925504,389,907127,13.738093732974464
102354,2010,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,C & H Mining Company Inc,"3699 Industrial Parkway, Jasper, AL 35502",,281686,42,123228,12.548548254368903
102901,2010,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"8488 Nancy Ann Bend Road, Adger, AL 35006",United Mine Workers of America,1680463,601,1363384,14.334579908648145
102951,2010,Majestic Mine No. 2,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Surface,Operating Subsidiary,Mine only,R J R Mining Company Inc,"P.O. Box 1253, Cullman, AL 35056",,54710,7,15428,10.909801787057871
103150,2010,Littleton Mine,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Evergreen Mining, Llc","74 Industrial Parkway, Jasper, AL 35501",,1507,5,944,7.317876198626496
103180,2010,Sloan Mountain Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,"M S & R Equipment Company, Inc","2600 Warrior Jasper Road, Warrior, AL 35180",,327895,59,122364,12.700448714165091
103278,2010,Cef Alabama #3,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Covol Engineered Fuels Lc,"P.O. Box 60, Adger, AL 35006",,60226,16,32121,11.005859431745387
103285,2010,Narley Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,Best Coal Inc,"P.O. Box 1253, Cullman, AL 35056",,136210,23,58920,11.821953091441387
103332,2010,Powhatan Mine,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Surface,Independent Producer Operator,Mine only,Rac Mining Llc,"378 Old Dora Road, Sumiton, AL 35148",,81781,27,60373,11.311800221772462
103375,2010,Johnson Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490",,94209,22,50269,11.453270997401939
103393,2010,Buttahatchee Mine No 1,Alabama,Marion,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,"National Coal Of Alabama, Inc","1401 Doug Baker Blvd 107-181, Birmingham, AL 35242",,79174,18,41222,11.279403241077631
103205,2010,Alliance Mine No 1,Alabama,Shelby,Appalachia Southern,Temporarily closed,Surface,Independent Producer Operator,Mine only,Hope Coal Company Inc,"1401 Doug Baker Blvd, Suite 10, Birmingham, AL 35242",,22795,13,13233,10.034296492647542
103245,2010,Thompson Mine No 1,Alabama,Shelby,Appalachia Southern,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,"Tacoa Minerals, Llc","1669 Mission Hills Road, Alabaster, AL 35007",,71336,30,69845,11.175156387814715
103417,2010,Yeshic Mine,Alabama,Shelby,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"Yeshic, Llc","74 Industrial Parkway, Jasper, AL 35501",,216050,46,91248,12.28326514136008
103422,2010,Clark No 1 Mine,Alabama,Shelby,Appalachia Southern,Active,Underground,Independent Producer Operator,Mine only,Tacoa Minerals Llc,"1669 Mission Hills Road, Alabaster, AL 35117",,12819,24,55853,9.458683724312134
101247,2010,No 4 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"3000 Riverchase Galleria Suite, Birmingham, AL 35244",United Mine Workers of America,2797422,692,1647840,14.844208836741972
101401,2010,No 7 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"3000 Riverchase Galleria Suite, Birmingham, AL 35236",United Mine Workers of America,3870330,776,1918923,15.168850332688402
103172,2010,"Searles Mine No. 2, 3, 4, 5 &",Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453",,500184,84,228797,13.122731309708936
103179,2010,Fleetwood Mine No 1,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",,73062,15,39519,11.199063674735063
103196,2010,East Brookwood Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,Tuscaloosa Resources Inc,"3500 35th Avenue North, Birmingham, AL 35207",,491194,89,217410,13.104594440756753
103303,2010,"Shannon Mine, No. 2, No. 3",Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"Shannon, Llc","74 Industrial Parkway, Jasper, AL 35501",,690958,85,242496,13.445834319426417
103390,2010,Highway 59 Mine No. 1,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine only,"Tuscaloosa Resources, Inc","3500 35th Ave. North, Birmingham, AL 35207",,205130,32,84073,12.231399203476183
100347,2010,Choctaw Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Taft Coal Sales & Associates I,"107 N. Walston Bridge Road, Jasper, AL 35504",,654184,100,291039,13.391143936434844
